,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
0,31.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca,Sudeste
1,30.0,Masculino,Espírito Santo (ES),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
2,37.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,7000.0,Até 2 anos,Amarela,Sudeste
3,22.0,Masculino,São Paulo (SP),,,,,Preta,Sudeste
4,34.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sudeste
5,30.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,10000.0,Até 2 anos,Branca,Sudeste
6,24.0,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca,Sudeste
7,35.0,Masculino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Branca,Sudeste
8,27.0,Masculino,Rio de Janeiro (RJ),,,,,Parda,Sudeste
9,28.0,Masculino,São Paulo (SP),,,,,Parda,Sudeste
10,25.0,Masculino,Sergipe (SE),Analista de BI,Júnior,1500.0,Até 2 anos,Preta,Nordeste
11,46.0,Feminino,Pernambuco (PE),,,,,Parda,Nordeste
12,32.0,Feminino,Rio Grande do Sul (RS),Outra opção,Pleno,3500.0,Até 2 anos,Preta,
13,39.0,Masculino,São Paulo (SP),,,18000.0,Mais de 10 anos,Branca,Sudeste
14,36.0,Masculino,Distrito Federal (DF),,,14000.0,de 7 a 10 anos,Branca,Centro-Oeste
15,35.0,Feminino,Minas Gerais (MG),,,10000.0,de 4 a 6 anos,Branca,Sudeste
16,29.0,Feminino,Rio de Janeiro (RJ),Analista de Dados,Pleno,5000.0,de 4 a 6 anos,Branca,Sudeste
17,29.0,Feminino,Minas Gerais (MG),Analista de BI,Júnior,2500.0,Até 2 anos,Não informado,Sudeste
18,27.0,Masculino,Paraná (PR),Outra opção,Júnior,2500.0,de 3 a 4 anos,Parda,
19,31.0,Masculino,Rio de Janeiro (RJ),,,10000.0,de 7 a 10 anos,Branca,Sudeste
20,35.0,Masculino,Paraíba (PB),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Parda,Nordeste
21,35.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 7 a 10 anos,Branca,Sudeste
22,29.0,Masculino,Paraná (PR),Cientista de dados,Sênior,40000.0,de 4 a 6 anos,Branca,
23,44.0,Feminino,Minas Gerais (MG),,,10000.0,de 3 a 4 anos,Branca,Sudeste
24,25.0,Feminino,São Paulo (SP),Engenheiro de dados,Júnior,7000.0,Até 2 anos,Branca,Sudeste
25,36.0,Masculino,Acre (AC),Analista de Dados,Júnior,1500.0,Até 2 anos,Branca,Norte
26,36.0,Feminino,Minas Gerais (MG),,,14000.0,Mais de 10 anos,Parda,Sudeste
27,46.0,Masculino,Santa Catarina (SC),Outra opção,Pleno,10000.0,Até 2 anos,Branca,
28,33.0,Feminino,São Paulo (SP),Analista de Dados,Pleno,7000.0,Até 2 anos,Parda,Sudeste
29,30.0,Masculino,São Paulo (SP),Outra opção,Pleno,10000.0,de 4 a 6 anos,Branca,Sudeste
30,32.0,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,de 7 a 10 anos,Parda,Sudeste
31,38.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 7 a 10 anos,Preta,Sudeste
32,36.0,Masculino,São Paulo (SP),,,27500.0,de 7 a 10 anos,Parda,Sudeste
